item,title,rating,body
'B08C3B5SXX','Quality is good.','4.0 out of 5 stars','Useful in winter to wear.'
'B08C3B5SXX','For product quality','4.0 out of 5 stars','I like this very much Thnx for service provider'
'B08C3B5SXX','Poor quality','2.0 out of 5 stars','Stitches wearing off in a month'
'B08C3B5SXX','Size matters','4.0 out of 5 stars','They should check the size carefully but good quality.'
'B08C3B5SXX','value for money','5.0 out of 5 stars','u can wear it daily. will keep u warm and its light weight too. i bought this is 3 different colours. a good replacement of sweatshirt/heavy sweaters.'
'B08C3B5SXX','What you see you get.','4.0 out of 5 stars','This product is winter wear. Hence fabric should be wool blend.'
'B08C3B5SXX','satisfactory','3.0 out of 5 stars','quality can be improved'
'B08C3B5SXX','Loved it','4.0 out of 5 stars','The colour is exact as shown in the picture and it is warm. The pattern on it makes it different from a regular sweater.'
'B08C3B5SXX','Amazing product','5.0 out of 5 stars','Superb purchase amazing deal. And the fitting is amazing'
'B08C3B5SXX','A beauty to behold.','4.0 out of 5 stars','The material is warm and soft. The design is beautiful. The color is perfect. The sweater looks opluent vis-a-vis its price.  Under ₹750-800 the sweater is a steal deal.'
'B08C3B5SXX','Trepidation about SYMBOL Brand from Amazon turns to delight','4.0 out of 5 stars','I was a bit sceptical about the brand SYMBOL an inhouse brand of Amazon but the quality matches and exceeds the expectations in terms of yarn quality knitting finish and size. I am 62 and on plus side and have difficulty in getting garments that fits well. Most of the fabled labels have deeply disappointed in terms of cut finish and quality but this dis not. I often buy from Decathlon my needs for garments like trousers shorts and other accessories but this time Amazon left a smile. I can blindly buy this same product again if I have to.'
'B08C3B5SXX','best product ...❣️❣️❣️ i love it','5.0 out of 5 stars','best ever'
'B08C3B5SXX','Appearances are often deceptive','1.0 out of 5 stars','Not good'
'B08C3B5SXX','Low quality material','2.0 out of 5 stars','Not recommended to buy'
'B08C3B5SXX','Brilliant','5.0 out of 5 stars','Its literally awesome but this one is different from colour so i got blue colour.'
'B08C3B5SXX','Good product I like .','5.0 out of 5 stars','Good product'
'B08C3B5SXX','Bakwas quality local item','1.0 out of 5 stars','Market me aasani se 350 me milta he'
'B08C3B5SXX','Nice','5.0 out of 5 stars','Nice'
'B08C3B5SXX','Good product','5.0 out of 5 stars','Very good product'
'B08C3B5SXX','Dont buy','1.0 out of 5 stars',"Was supplied with a used sweater so had to. Return. Irrespective of that, its a so so quality sweater. I wouldn't recommend acrylic at high price."
'B08C3B5SXX','Good Quality','4.0 out of 5 stars','Quality is good size is perfect.'
'B08C3B5SXX','Good product.','4.0 out of 5 stars','I like the product good material quality size fit as expect and best product in this prize range'
'B08C3B5SXX','Good choice in this budget.','4.0 out of 5 stars','Fits very well and material is also good.'
'B08C3B5SXX','Value for money','4.0 out of 5 stars','Nice fit and design and the great quality the colour remain as it is after many washes'
'B08C3B5SXX','good quality','4.0 out of 5 stars','best for a casual look'
'B08C3B5SXX','Good and Stylish','4.0 out of 5 stars',Fabric quality is good and it's to fit and Stylish. Awesome product it look nice when wearing with black jacket.
'B08C3B5SXX','Nice Woolen Product','5.0 out of 5 stars','It is nice woolen product for winter season. Nice color and weave . Quality is also good and long lasting .'
'B08C3B5SXX','Neck portion was too tight..','1.0 out of 5 stars','Neck portion is too tight ..'
'B08C3B5SXX','Maintain quality','5.0 out of 5 stars','Product is 👍'
'B08C3B5SXX','Nice stuff','5.0 out of 5 stars','Good stuff in this price.'
'B08C3B5SXX','Good quality','5.0 out of 5 stars','Good'
'B08C3B5SXX','Perfect','5.0 out of 5 stars','Just awesome'
'B08C3B5SXX','Go for it','5.0 out of 5 stars','Awesome Fabric perfect design and good fitting...'
'B08C3B5SXX','Nice product and design','4.0 out of 5 stars','Good one. Hoping there will be a black colour soon.'
'B08C3B5SXX','Good','4.0 out of 5 stars','Product material is good. Choose one size extra than yours. Overall it is good'
'B08C3B5SXX','Nice fitting','5.0 out of 5 stars','Very nice product'
'B08C3B5SXX','Good','5.0 out of 5 stars','Good'
'B08C3B5SXX','S size very good high neck of','4.0 out of 5 stars',''
'B08C3B5SXX','The color is feminine.','3.0 out of 5 stars','The wine color is lighter than the display.That is why it looks feminine. A darker shade would have been better. Elsethe product is good.'
'B08C3B5SXX','Awesome','5.0 out of 5 stars','Awesome product . Fitting is good . Paisa vasool 🤘'
'B08C3B5SXX','Very nice','4.0 out of 5 stars','Value for money'
'B08C3B5SXX','Fet','3.0 out of 5 stars','Sorry'
'B08C3B5SXX','Good not great','3.0 out of 5 stars',Quality as expected not too warm don't ware this in Single always layer it with others jacket or Hoodies.
'B08C3B5SXX','Go to product','5.0 out of 5 stars',''
'B08C3B5SXX','Awesome','5.0 out of 5 stars',''
'B08C3B5SXX',It's not fit for a average man,'1.0 out of 5 stars',I can't keep it will give it to someone it's not fit to me and a little bit tight
'B08C3B5SXX','Very nice for rainy and cold season','5.0 out of 5 stars','Very Nice and fit to me requirements for this rainy and cold seasons'
'B08C3B5SXX','Amazing for the pricepoint I got it in.','4.0 out of 5 stars','Liked the product. 100% acrylic (artificial wool) fabric warmer than cotton but definitely less than actual wool. But then again 100% wool fabric sweaters cost at least x4 of this. Got this one in sale in the price bracket of Rs. 550-600 Amazing knitwork on the front as well.'
'B08C3B5SXX','Product too large','1.0 out of 5 stars','Product is good but it is too large and option for replacement is not available'
'B08C3B5SXX','Great work by Symbol. Fits perfectly well,value for money.','5.0 out of 5 stars''Great'
