item,title,rating,body
'B0B46FXFQ9','Good','4.0 out of 5 stars','Refreshing value for money'
'B0B46FXFQ9','Good','4.0 out of 5 stars','Good'
'B0B46FXFQ9','Worst quality by vivel','1.0 out of 5 stars','The soap doesn’t have good fragrance. The scent is like a cheap toilet soap. Nothing as it is told by company very cheap product.'
'B0B46FXFQ9','Natural ingredients','5.0 out of 5 stars','This new Vivel luxury range soap is lovely to use. All the natural ingredients that are used are so refreshing and full of fragrance. All the soap cleans our skin from dirt and sweat leaves a softer sink. It lathers well and also gets easily rinsed off quickly. The concept of introducing different oil with different natural ingredients is very thoughtful. And the good part is all is curated under single packing. So this pack of six has different combinations under in packing.'
'B0B46FXFQ9','Effective and nice','5.0 out of 5 stars','This is pack of 6 soaps with three variants. The nargis and Kumkumadi oil soap is good for clear skin tone. The nagarmotha and bahumanjari oil makes skin clear and removes impurities. Lastly the chandan and badamam oil smells good and makes skin glowing and soft. This herbal soap pack is better for skin and fits the pocket too.'
'B0B46FXFQ9','Nice soap.','5.0 out of 5 stars',"I was amazed when I tried this soap Soft on skin, hard on body odour.Good quality product with freshness and good smell. The perfect soap do exist. If keeps skin soft and fresh all day long.Very good quality product & very useful & very good fragrance ..Overall IT'S THE BEST"
'B0B46FXFQ9','Good soap','5.0 out of 5 stars','Very nice soap. It is very effective and skin feels very soft after using it. Also the fragrance is long lasting and nice. There are different types of soap in this pack and it gives a clear even toned and radiant skin after usage. I have been using it everyday and it is very effective. It also acts as a moisturizer and cleanser for the skin. The quality of lather is also very soft and thick. Overall extremely effective and nice.'
'B0B46FXFQ9','Good product','5.0 out of 5 stars','It is really good soap for all skin. I personally love this soap its smell so good. It makes me refresh and gorgeous. Loved it...'
'B0B46FXFQ9','The Vivel VedVidya Luxury Pack of 6 Skincare Soaps lives up to its promises','5.0 out of 5 stars','The Vivel VedVidya Luxury Pack of 6 Skincare Soaps is an impressive collection that lives up to its promises. Each soap is thoughtfully formulated to address various skin concerns resulting in noticeable improvements in texture and tone. The gentle yet effective formula cleanses without causing dryness or irritation. The inclusion of skin-loving ingredients demonstrates careful crafting. The elegant packaging adds to its appeal making it an ideal gift choice. Overall this pack offers a luxurious and beneficial skincare experience leaving skin rejuvenated soft and even-toned. Highly recommended for those seeking a holistic approach to skincare.'
'B0B46FXFQ9','Amazing','5.0 out of 5 stars','Enriched with the soothing fragrance of Nargis and the nourishing benefits of Kumkumadi oil this soap gives a fragrant bath along with a feeling of soft and even-toned skin. The floral aroma of Nargis or daffodil flower extract is revitalizing and energizing.i just love all soap..value for money.worth buying product must say.'
'B0B46FXFQ9','Amazing soap','5.0 out of 5 stars',"Amazing Soap,Vivel a well known brand. Benefits Inspired by ingredients used in ancient beauty rituals. These soaps give you the feeling of soft, even-toned, clear, radiant and glowing skin you've always admired. Packaged with love in recyclable material - preserving your beautiful skin and the planet. FormBar soaps  The VedVidya Luxury pack offers 3 different variants of soap bars Experience the luxury of ancient beauty baths with Vivel VedVidya, a range of soaps that are inspired by ingredients used in Ancient Beauty Rituals. These soaps nourish your skin and soothe your senses with their enchanting and long-lasting fragrances Crafted with ingredients which finds its place in ancient Ayurveda literature, VedVidya beauty soaps help you rediscover the feeling of soft, even-toned and healthy-looking and radiant, glowing skin Nargis & Kumkumadi oil bathing bar gives a skin that feels soft and even-toned, Nagarmotha & Bahumanjari oil gives a feeling of soft & clear skin, and Chandan & Badamam oil gives a skin that feels soft and radiant Dermatologically tested and suitable for all skin types including sensitive skin."
'B0B46FXFQ9','Indulge in Luxury Skincare','5.0 out of 5 stars','These Soaps are a comprehensive solution for achieving soft even-toned clear radiant and glowing skin. With this collection it offers a luxurious path to skin wellness. Each soap is formulated to provide specific benefits ensuring a holistic skincare routine. Elevate your skincare journey with this pack for a radiant and revitalized complexion.'
'B0B46FXFQ9','The most luxurious bath soaps','5.0 out of 5 stars','Each scent there are two of them. All of them are good scents. The deal is good for the amount of soaps the price is perfect. Long lasting scent and moisturises the skin well. Feels fresh'
'B0B46FXFQ9','Great deal for luxury soaps','5.0 out of 5 stars','All of them smells unique and so fragrant luxurious creamy texture not only cleans well but also moisturising for the skin with all the essential oils the scent is very good.'
'B0B46FXFQ9','Superb fragrance','5.0 out of 5 stars','After taking bath I feel like I took a shower in perfume . Such a soothing fragrances . Vivil soaps are suitable for all skin types'
'B0B46FXFQ9','Beautiful and very good quality product.','5.0 out of 5 stars',Good fragrance. Loved the packaging. Great way to refresh yourself. It keeps you refresh for long and smells good. You can definitely try this new range of vivel. It's affordable too. And comes in 3 different fragrance. Its shape is good we can hold properly accurate 100gm weight.
'B0B46FXFQ9','Good','5.0 out of 5 stars','Good soap with nice fragrance. Soaps are of good size. It is very gentle on skin. It is good for sensitive skin. Affordable. Very good moisturizing soap. My skin feels baby soft. I can never think of changing it. After using it it did not feel any dryness. Best soap for regular use'
'B0B46FXFQ9','Good','5.0 out of 5 stars','Very nice soap. It smells is very soothing and long lasting. Makes my skin smooth and nourished. The only bathing bar which do not dry out my skin. It is so soft on skin. It cleanses skin and moisturisers at the same time. I have fall on love with this. It provides supple skin'
'B0B46FXFQ9','Feel Fresh','5.0 out of 5 stars','Hello buyers this is the first time that I purchased this product...and this product is very good... for specially for those who love to fragrantic bath.. daily... and also love to soften skin....this is the ayurvedic skin bar soap....it provides the glowing skin....and remove harshness of the skin..... my skin goes so clear after using the soap'
'B0B46FXFQ9','Most desired bathing bars','5.0 out of 5 stars','I used this product after a suggestion by friend. It gives wonderful experience of bathing. It has soft texture and pleasent aroma. After use skin feels so smooth and radiant. These glycerine soap bar enhance the glow of skin. Everyone who have dry skin Problem or any kind of skin related issues must try this once.'
'B0B46FXFQ9','New fragrances','5.0 out of 5 stars','3 fragrances in a pack of 6. All are awesome. New n different. Feel fresh and odour free . Vedic ingredients soap which is good for skin. Not harsh to the skin.'
