item,title,rating,body
'B0CCCV2WG6','Review','3.0 out of 5 stars','Quality is good. But you have to see the part touching the ground will get moist and start rotting. Better put a plywood below.'
'B0CCCV2WG6','Best product','5.0 out of 5 stars','Good product usefully purchase this value the money'
'B0CCCV2WG6','Bad product','1.0 out of 5 stars','West money product Very bad product 👎'
'B0CCCV2WG6','Not look like that','1.0 out of 5 stars','Jesa dikhta he vesa nahi he bilkul b comfortable nahi he muje to pasand nahi aaya as your wish bt me recommend kr rha hu ki mt lo'
'B0CCCV2WG6','Couldn have been bit soft','4.0 out of 5 stars',''
'B0CCCV2WG6','Worst Quality','1.0 out of 5 stars',"Not worth the price you're paying, don't buy"
'B0CCCV2WG6','Terrific purchase','5.0 out of 5 stars',The best. It's value for money It add beautiful look to ur living/room and provide comfortable bed. U can buy without second thought
'B0CCCV2WG6','Nice','5.0 out of 5 stars','Very Good product at this price....It is so very much comfortable! So very much soft and obviously worth it! Thankyou Amazon for providing such a nice product on you shopping website!'
'B0CCCV2WG6','Cost friendly','5.0 out of 5 stars','Very nice product very budget friendly and very good product from amazon.thanks amazon for this beautiful and nice product.always be grateful to you'
'B0CCCV2WG6','Comfort','5.0 out of 5 stars','It is very comfortable I bought it for my father he now sits whole day on this. Iike the sofa quality very much'
'B0CCCV2WG6','Comfortable','5.0 out of 5 stars','It’s superb product. I can comfortably sleep and sit on this. Value for money. Don’t think before but. Thank you amazon'
'B0CCCV2WG6','value for money.','5.0 out of 5 stars','great product . i liked it . comfortably and sturdy material used. value for money. everyone should buy this. perfect for guests.'
'B0CCCV2WG6','Amazing product','5.0 out of 5 stars','Pocket friendly and quality is amazing. Comfortable for me and my family.. highly recommended. Thanks for the great product in this range'
'B0CCCV2WG6','Very bad quality','1.0 out of 5 stars',Don't buy this product
'B0CCCV2WG6','Comfortable','5.0 out of 5 stars',"The material of the sofa at this cost is very nice and classy. It's a value product. Very comfortable sofa, Worth buying!"
'B0CCCV2WG6','Super cosy and classy','5.0 out of 5 stars','The sofa cum bed looks great and it is definitly worth the money. Its is very comfortable and easy to adjust.'
'B0CCCV2WG6','Very comfortable','5.0 out of 5 stars','Just as I wanted. Go for it if you are looking for most comfortable and premium looking sofa cum bed.'
'B0CCCV2WG6','Good but little costly','4.0 out of 5 stars','Good but little costly. Same quality product comes for less at local mattress shops.'
'B0CCCV2WG6','Not satisfied','1.0 out of 5 stars','Overall the product was okay but its felt its a bits pricy because its all sponge in it after some days of use it will just pressed and will be of no use'
'B0CCCV2WG6','Good Quality and comfortable for 1 person.','4.0 out of 5 stars','The product quality is good and comfortable. I have received different color cushion (not blue) which is little disappointing otherwise it would have been great.'
'B0CCCV2WG6','Good product','4.0 out of 5 stars',It's a a little bit hard. But overall nice product. And I got only one cushion.
'B0CCCV2WG6','Beautiful product','5.0 out of 5 stars','Very comfy and sturdy it is.. My family and friends loved it very much.. Must go for it.. Thank you Amazon and seller..'
'B0CCCV2WG6','Good','4.0 out of 5 stars','This is Good for one person..it is good..'
'B0CCCV2WG6','Best products','5.0 out of 5 stars','Bed rest ke liye super'
