item,title,rating,body
'B09W43XLBY','Disappointed','1.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r11qvs9ymfi9gc_1697145504545","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"259-5730146-6179910","refMarkers":"vse_reviews_desktop_R11QVS9YMFI9GC_1697145504545_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"CN5XK09MBSAE3D072X54","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R11QVS9YMFI9GC","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R11QVS9YMFI9GC_1697145504545_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/52ade5f4-1ad4-428c-9097-af81dab63e64.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/1a3471eb-c8fe-499f-b42a-3c4eeadc6935/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R11QVS9YMFI9GC","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r11qvs9ymfi9gc_1697145504545-player-ff34026a-7dd4-4b43-bb24-fbd8090e92bd","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"CN5XK09MBSAE3D072X54","pageAsin":"","sessionId":"259-5730146-6179910"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"259-5730146-6179910","refMarkers":"vse_reviews_desktop_R11QVS9YMFI9GC_1697145504545_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"CN5XK09MBSAE3D072X54","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R11QVS9YMFI9GC","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R11QVS9YMFI9GC_1697145504545_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/61GjPw88tNL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Product so simple.....not as expected'
'B09W43XLBY','Bad quality','2.0 out of 5 stars','Bag quality is not good. Highly not recommended and not satisfied.'
'B09W43XLBY','Premium looks','4.0 out of 5 stars','Quality is good but no inside pockets'
'B09W43XLBY','Review','4.0 out of 5 stars','Product quality are best, But size is lager(in rectangle frame).'
'B09W43XLBY','Worth it compare to compitition Brand.','4.0 out of 5 stars','Good Quality.'
'B09W43XLBY','Not a laptop backpack','3.0 out of 5 stars',"I don't know why Amazon selling this as a laptop backpack.. no laptop compartment"
'B09W43XLBY','Value for money','5.0 out of 5 stars','The material quality used in the product is good,the product looks premium and it is comfortable to use .'
'B09W43XLBY','Poor quality bag','1.0 out of 5 stars','Poor quality bag Amazon is recommended wrong product. They should give good quality products and improve their name because at this price we get more opportions'
'B09W43XLBY','Worth the money 💰','4.0 out of 5 stars',"As usual amazon basics are value for money, I am glad I bought this, it's economical and serves the purpose."
'B09W43XLBY','Very nice qulity worth it','5.0 out of 5 stars','Good product at this price nice color same as shown in Amazon page'
