item,title,rating,body
'B09R7NJ46D','It is not anti skid.','4.0 out of 5 stars','I am using the Mouse Pad on the Dining Table of Polished stone. It slips during the use. The surface feelson good.'
'B09R7NJ46D','A good product at a good price','5.0 out of 5 stars','Simple, elegant and practical'
'B09R7NJ46D','Good product','5.0 out of 5 stars','Better then fabric mousepad to keep it clean and hygiene.'
'B09R7NJ46D','Poor quality','1.0 out of 5 stars','Very thin, does not solve the process'
'B09R7NJ46D','Best for Office use','5.0 out of 5 stars','Value for money but only for office use. Not recommended for gaming.'
'B09R7NJ46D','Cheap and Best','5.0 out of 5 stars','Does the job and lasts long'
'B09R7NJ46D','Very comfortable and ease of use','5.0 out of 5 stars',''
'B09R7NJ46D','Wonderful product','5.0 out of 5 stars','Although feels like plastic, it serves the purpose'
'B09R7NJ46D','Good','4.0 out of 5 stars','Ok for the price..'
'B09R7NJ46D','Value for money','4.0 out of 5 stars','Value for money'
