item,title,rating,body
'B0824PLNV5','Excellent product','5.0 out of 5 stars','I love it'
'B0824PLNV5','Value','4.0 out of 5 stars','Value for money'
'B0824PLNV5','Excellent shopping from AMAZON.','5.0 out of 5 stars',It's good product material. Excellent shopping from AMAZON.
'B0824PLNV5','Good','5.0 out of 5 stars','Its very good budget friendly product'
'B0824PLNV5','Good Product','4.0 out of 5 stars',It's nice belt... Using for 6 months and I think it's worthy... Recommend from my side.. Must try
'B0824PLNV5','You have to make manual holes','2.0 out of 5 stars','Nice but holes are not in for waist length'
'B0824PLNV5','Good','5.0 out of 5 stars','Ok good'
'B0824PLNV5','Belt is strong and good','5.0 out of 5 stars','Belt is strong and size is fit'
'B0824PLNV5','Good','5.0 out of 5 stars','Good product'
'B0824PLNV5','Good','3.0 out of 5 stars','Good'
'B0824PLNV5','Lovely belt','4.0 out of 5 stars','Like the product'
'B0824PLNV5','Review','1.0 out of 5 stars',Don't go for this product.
'B0824PLNV5','Good Belt','4.0 out of 5 stars','Looks durable and matches the pictures.'
'B0824PLNV5','Provide measurements','1.0 out of 5 stars','Good product but no proper sizes'
'B0824PLNV5','Worth the money','5.0 out of 5 stars','Leather Quality is ok and the colour and durability Thickness also just fine'
'B0824PLNV5','Good quality leather n I like it','5.0 out of 5 stars','Durable product'
'B0824PLNV5','Quality','3.0 out of 5 stars','The quality of the leather is not good.'
'B0824PLNV5','Poor quality....','1.0 out of 5 stars',"It's lather quality is not as much as expected,"
'B0824PLNV5','Really worth in this cost','5.0 out of 5 stars','The media could not be loaded. Hello this my review after receiving same day. Expressed in video please do watch @urban Forest'
'B0824PLNV5','Good','5.0 out of 5 stars','Ok very good'
'B0824PLNV5','Perfect','5.0 out of 5 stars','Worthy product ☀️☀️☀️☀️☀️👍'
'B0824PLNV5',Product seems safisfactory at a glance but the color isn't as displayed,'4.0 out of 5 stars',"'I bought the ""Redwood"" variant to match it with my bright tan color shoe for interview purposes but the the color of it was duller than it was shown on the image.'"
'B0824PLNV5','Not a leather belt as told in discription','1.0 out of 5 stars','Ok but not as per seller told leather belt'
'B0824PLNV5','Like it','5.0 out of 5 stars',Let's see sustainability. All good .
'B0824PLNV5','Belt','5.0 out of 5 stars','Good product'
'B0824PLNV5','Good','5.0 out of 5 stars','Pure leather'
'B0824PLNV5','Leather quality and look excellent. Nice colour.','5.0 out of 5 stars','Absolutely beautiful for jeans'
'B0824PLNV5','Good','5.0 out of 5 stars','Nice product'
'B0824PLNV5','It stains your dress','2.0 out of 5 stars','It was easy to resize but the black colour stains your clothes. I do not recommend this.'
'B0824PLNV5','Value for money','5.0 out of 5 stars','Nice product n value for money'
'B0824PLNV5','Hardcore Leather, Good Stuff ❤️🔥','5.0 out of 5 stars''I recently purchased this Urban brand leather belts BLACK & BROWN.. Im amazed with this one. Quality is hardcore 🔥. Loving it.'
'B0824PLNV5','super and good quality 😁 used easy','5.0 out of 5 stars','easy to use'
'B0824PLNV5','Nice product','5.0 out of 5 stars','Value for money'
'B0824PLNV5','Must buy','5.0 out of 5 stars',''
'B0824PLNV5','Belt is too hard and average quality.','2.0 out of 5 stars','The media could not be loaded. Too hard and not comfortable to wear around. Did not expect this service from Amazon.'
'B0824PLNV5','Belt','4.0 out of 5 stars','Good product'
'B0824PLNV5',Didn't fit,'3.0 out of 5 stars','Not enough holes to tighten'
'B0824PLNV5','Used product is delivered','1.0 out of 5 stars','Used product is delivered. I can see there are multiple damages to the product along with additional holes created'
'B0824PLNV5','No clear instruction','3.0 out of 5 stars','Everything is fine but they did not instruct how to make a hole and this is the main disadvantage of online shopping. If you buy this from shop and they directly do everything according to fitting.'
'B0824PLNV5','Good Quality','5.0 out of 5 stars','amazing quality'
'B0824PLNV5','Good quality','5.0 out of 5 stars','The leather is true and has great quality the finish on the buckle is smooth and no rough edges and the finish on the belt is lovely.'
'B0824PLNV5','Nice product','5.0 out of 5 stars','Good quality material used Feel and look is very good Came with a nice box to gift wrap and gift someone'
'B0824PLNV5','Best','5.0 out of 5 stars','Best quality'
'B0824PLNV5','Color of the belt is not same as picture','2.0 out of 5 stars',The brown colour looks good in picture but actually it's normal deep brown. Quality is good and good for office purpose
'B0824PLNV5','Not royal','3.0 out of 5 stars',It's very hard and if soft material is preferred don't buy
'B0824PLNV5','Premium belt','4.0 out of 5 stars','Only problem is that is has very less holes'
'B0824PLNV5','Poor quality','1.0 out of 5 stars','Worst money'
'B0824PLNV5','Waist','1.0 out of 5 stars','Not good  Not good'
'B0824PLNV5','Overall it is good','4.0 out of 5 stars','It is too hard if it was a little soft it would be very comfortable'
'B0824PLNV5','Good product','5.0 out of 5 stars','Quality of leather is decent. Its worth the price.'
