item,title,rating,body
'B07VS1GPSN','Faulty Product & No support for warrant claim from Customer Care','1.0 out of 5 stars','Sent numerous mails n there is no response from customer care that means we can’t claim warranty. Lose entire money !'
'B07VS1GPSN','Nice product','5.0 out of 5 stars','Nice product'
'B07VS1GPSN','Good Quality worth buying','4.0 out of 5 stars','been using around 2+months and its has no issues so far'
'B07VS1GPSN','Amazing product by Borosil','5.0 out of 5 stars','Super bottle for use. Looks really elegant. Appropriate for travelling.'
'B07VS1GPSN','Liked the product','5.0 out of 5 stars','Retains heat up to 8-10 hrs.'
'B07VS1GPSN','Best bottle','5.0 out of 5 stars','It keeps water cold for 2 days atleast even in this summer.'
'B07VS1GPSN','Product was good','5.0 out of 5 stars','Light weight easy to carry'
'B07VS1GPSN','Title: Disappointing Quality and Temperature Maintenance','1.0 out of 5 stars',"Unfortunately, my experience with this product has been quite disappointing.  Within just one month of regular use, the original vacuum bottle I received developed temperature maintenance issues. The promise of keeping liquids hot or cold for an extended duration did not hold up, as I noticed a significant drop in temperature retention. This made my daily routine frustrating, as I rely on a reliable vacuum bottle to keep my drinks at the desired temperature throughout the day.  I contacted the company's customer service, and to their credit, they promptly sent me a replacement bottle. However, my optimism was short-lived. After a mere six months of use, the replacement bottle began to show the same problems as its predecessor.  The build quality of both bottles appears to be subpar, given the rapid deterioration in performance. It's disappointing to see a product that initially seemed promising turn out to be so unreliable. While I appreciate the company's effort in sending a replacement, the fact that the replacement bottle also suffered from similar issues raises concerns about the overall quality and durability of this product.  In conclusion, I cannot recommend this vacuum bottle based on my experiences. It falls short in terms of temperature maintenance and durability, making it a frustrating and unreliable choice for anyone seeking a dependable vessel for keeping beverages at the desired temperature."
'B07VS1GPSN','Perfect size','4.0 out of 5 stars',"I got the 900ml borosil vaccum flask for rs 900 which is almost similar to other well known brands. The additional sipper and The additional handle to carry the bottle are plus points And also we need to take 3.7 litres of water in a day so we don't have to calculate it we are drinking 4times the water in this bottle we are on it And the water is remaining hot/cold for 12 hours+!"
'B07VS1GPSN','Good product','4.0 out of 5 stars','Value of money and is to use'
'B07VS1GPSN','Not solid','2.0 out of 5 stars','When the bottle will be dropped on floor , it will cause dent and loss of color over dented area.'
'B07VS1GPSN','Not recommend','1.0 out of 5 stars','I have experienced a change in smell and taste after few weeks only. I don’t know why this has happened and after properly cleaning bottle for couple of times still it persists. After I don’t like to use bottle.'
'B07VS1GPSN','Very well made product','5.0 out of 5 stars','A very good bottle from a trusted brand.It keeps water cool for a long period,no leakage..recommended product'
'B07VS1GPSN','Very good product','4.0 out of 5 stars','Good'
'B07VS1GPSN','Defective','1.0 out of 5 stars','Water somehow entered into vaccum space'
'B07VS1GPSN','Smell','2.0 out of 5 stars','No matter how many times I wash it, how much I soak it in some solution, the smell of plastic persists. I thought it will go away eventually. But nope. Still there.'
'B07VS1GPSN','Leakege in a bottle','1.0 out of 5 stars','The media could not be loaded. From day 1 bottle have leakge issue'
'B07VS1GPSN','Lid breaks easily within 1 month of use','2.0 out of 5 stars','The first time that we ordered the water bottle, the packaging was opened. We were able to exchange the bottle and get a new one. But after about 1 month of use, a sharp piece of plastic broke off from the cap and fell into the water. This is very dangerous as it may be accidentally swallowed. After the plastic piece fell off, the lid also began to crack. So, water also began leaking from the lid. By the time this happened, the return window closed, so we were unable to return the water bottle.'
'B07VS1GPSN','I like this bluid quality','4.0 out of 5 stars',''
'B07VS1GPSN','It is just a bottle','1.0 out of 5 stars',"You can't use it as a flask. It's just a bottle. They are fooling us"
'B07VS1GPSN','Very happy with the product','5.0 out of 5 stars','It is light, easy to carry around, looks good and is effective.'
'B07VS1GPSN','Good buy','5.0 out of 5 stars','Value for money! Retains hot water for almost 12 hours.'
