item,title,rating,body
'B08FXNP7CH','Waste','1.0 out of 5 stars',Get hot outside too when you fill hot water inside ... i recommend to don't buy this product It's a waste.
'B08FXNP7CH','Very good quality','5.0 out of 5 stars','Worth to buy this'
'B08FXNP7CH','Budget friendly and excellent bottle','5.0 out of 5 stars','Thank you Amazon for this solimo Thermo steel bottle. Water remains hot in it atleast for 12 hours. I love it. If you are looking for thermosteel bottle this is the best option quality and price wise. 😊'
'B08FXNP7CH','Good quality at this price','4.0 out of 5 stars','The media could not be loaded. Overall all good can go for it. Value for money I have checked yet for temperature maintenance but it’s look like premium'
'B08FXNP7CH','Better then milton','5.0 out of 5 stars','Dont buy expensive bottles like milton others  but this'
'B08FXNP7CH','Good quality stuff','4.0 out of 5 stars','Good quality flask holds the temperature(hot or cold) for 12-16 hours in AC and 24 hrs in normal room temperature!'
'B08FXNP7CH','Excellent','5.0 out of 5 stars','The bottle has long time duration of heat and cold and the water poured is also not spilled and heat is not lost.'
'B08FXNP7CH','This product I purchased last month','4.0 out of 5 stars','Maintains the heat ! Good product'
'B08FXNP7CH','Good product 24 hour old and child water save','4.0 out of 5 stars','Like me water bottle'
'B08FXNP7CH','Bottle','5.0 out of 5 stars','It’s very nice and quality 😘'
'B08FXNP7CH','Quality not good and hot chilling not work and missing bottle cap','1.0 out of 5 stars','Quality not good and hot chilling not work and missing bottle cap'
'B08FXNP7CH','Perfect for travelling.','5.0 out of 5 stars','A very good bottle because it keeps water hot/cold for atleast 12-15 hrs.'
'B08FXNP7CH',You Buy It & Just Feel It's Quality,'5.0 out of 5 stars','This Bottel is very nice it is capable for 1 litre water storing with the feature of having cold water as cold full day or having hot water as hot full day it is having a covering of glass inside it to remain temperature as it is. Really worthy product 👍👍👍👏👏👏'
'B08FXNP7CH','Very good product 👍','5.0 out of 5 stars','Good product 👍'
'B08FXNP7CH','Cap is not fitting properly','1.0 out of 5 stars','The media could not be loaded.'
'B08FXNP7CH','Reliable delivery and very good product for the price','5.0 out of 5 stars','When it comes toinsulated flask I find Solimo very reliable. This is the 4th purchase of my same product.'
'B08FXNP7CH','Good stuff','5.0 out of 5 stars','Looks nice but built quality is good Handle with care'
'B08FXNP7CH','High qulity','5.0 out of 5 stars','24 gante pani garm rheta hi ❤❤❤❤very very helpful  Acha pduct hi  Super se bhi super pduct acha respons helpful'
'B08FXNP7CH','24 hours Hot and cool','5.0 out of 5 stars','The media could not be loaded. Very low cost'
'B08FXNP7CH','Good Quality at Affordable price','5.0 out of 5 stars','Test on day 1 and it is working.Almost water is hot 24hr as mentioned.Geninue'
'B08FXNP7CH','Bottle Built Quality Very good','5.0 out of 5 stars','Keeps Water Hot for nearly 8-9 hours Design is good Compared to other Brands cheaper'
'B08FXNP7CH','Good quality','5.0 out of 5 stars','Value for money'
'B08FXNP7CH','Purity','4.0 out of 5 stars','Nice product'
'B08FXNP7CH','Rust formed after 1 months of use','1.0 out of 5 stars','The media could not be loaded. Rust formed after one month of use. Milton is better I guess.'
'B08FXNP7CH','Good product','4.0 out of 5 stars',''
'B08FXNP7CH','worst','2.0 out of 5 stars','recieved a dented product'
'B08FXNP7CH','Waste of money','1.0 out of 5 stars','This bottle is not good for cold as well as for hot. Hot liquid got cool within a hour and also bottle got warm from outside'
'B08FXNP7CH','Bohat aacha hai','4.0 out of 5 stars','Bohat hi aachi bottle hai Pani 24 hr se bhi jada garam rahta hai paise wasol hai buy thi product'
'B08FXNP7CH','It is worthy','5.0 out of 5 stars','Water cooling not decrease in 24 hours'
'B08FXNP7CH','Nice','5.0 out of 5 stars','Very fine quality water stay cold more than 24 hours.'
'B08FXNP7CH','Impressive item','5.0 out of 5 stars','Super and also Good product I impressed and Nice monitor storage space also big not shaded the color I will support'
'B08FXNP7CH','Very good product','5.0 out of 5 stars','Good product quality is very good and very economical price give to you I am very happy to patch this pr8'
'B08FXNP7CH','Value buy','5.0 out of 5 stars','Worthy buy'
'B08FXNP7CH','Water is hot around 8 to 9 hrs only','3.0 out of 5 stars','Water is hot in bottle around 8 to 9 hrs only'
'B08FXNP7CH','Sahi hai.','5.0 out of 5 stars','Sahi Kam kar Rahi hai.ok.'
'B08FXNP7CH','Ok 24 hour','4.0 out of 5 stars','Its thickness'
'B08FXNP7CH','Good product','4.0 out of 5 stars','Good product and working perfectly for cold and hot waters.'
'B08FXNP7CH','Cap faild','1.0 out of 5 stars','Not good cap  sleping third not tited'
'B08FXNP7CH','NOT WORTH A BUY','1.0 out of 5 stars',"In look and appearance it is good but the finish is quite slippery while handling. I used it for keeping hot water. I bought it in July,2023. For about a month time from the date of purchase, it worked well as water remained hot inside it from 16 to 18 hours with without any feel of hotness on bottle's outer layer. However, after about a month the outer layer of bottle started getting strongly heated up after filling the hot water in it, and the water inside it getting cold/normal in short time. HENCE, NOT WORTH A BUY. I don't know whether Amazon would now return/exchange/refund amount."
'B08FXNP7CH','Good Product','5.0 out of 5 stars','Very Good Product at this price'
'B08FXNP7CH','Very good product ! Must buy','5.0 out of 5 stars','I really satisfied with this product quality and i usually use it to store hot water and upto 8 hours water stay hot inside. Good product indeed.'
'B08FXNP7CH','Disappointed','1.0 out of 5 stars',Bought this on 25th October 2022. Was good for 3 months. It did hold cold for long time as mentioned... After 3 months it slowly started losing its temperature retaining (hot or cold) capacity.. Now at max 1 to 2 hours it holds the temperature. I spoke with Amazon customer service (after 3 months of purchase). They dont have any idea about the warranty policy and where to complaint (it says Amazon brand and Amazon did not provide warranty information).  I've been an Amazon customer from 1998-99 (USA) and this is my first disappointment with Amazon. I'll not recommend this.
'B08FXNP7CH','Just ok','3.0 out of 5 stars','Not keeping drinks in hot after one month... Not such a reccommendable pdt'
'B08FXNP7CH','Good product','4.0 out of 5 stars','This Product is good in its budget.'
'B08FXNP7CH','Rusty metal','1.0 out of 5 stars',It's nack inside some parts rusty
'B08FXNP7CH','Nicee','4.0 out of 5 stars','Nice bottle'
'B08FXNP7CH',Not a stainless steel it's made with iron,'1.0 out of 5 stars',Not a stainless steel it's made with magnetic iron don't waise your money low quality product
'B08FXNP7CH','Quality','4.0 out of 5 stars','Good Quality....Worth buying it.'
'B08FXNP7CH','Seller misusing Amazon','1.0 out of 5 stars','After i bought it only one time I tried to use but unfortunately not even 10 hours the heat was sustained.'
'B08FXNP7CH','Keeps water at a good temperature','5.0 out of 5 stars','It keeps the water at the temperature it was put in I absolutely love it 👍'
