item,title,rating,body
'B0BVMKFJLX','Worth it','5.0 out of 5 stars','Worth it.'
'B0BVMKFJLX','Great quality','5.0 out of 5 stars','Quality of the product is really good worth it👍👍'
'B0BVMKFJLX','BEST mousepad for the price. Worth every penny!!','5.0 out of 5 stars',"Seemless upper fabric with side stitches, i was surprised that it it didn't have any defects. Very impressive quality, go for it as it is the best you can get."
'B0BVMKFJLX','Overrated','1.0 out of 5 stars','Very Low quality product. Not worthy. Price too high.'
'B0BVMKFJLX','Amazing mousepad, super feel!','4.0 out of 5 stars''Really smooth good knitting and perfect size for gaming. 10/10 would buy again!  PS: They do include a piece of paper that says 50Rs cashback on a 5 star amazon review which i find totally unneccesary.'
'B0BVMKFJLX','Print quality is excellent.','5.0 out of 5 stars','It looks stunning on the desk. Highly recommended.'
'B0BVMKFJLX','Excellent product','5.0 out of 5 stars','Product looks brilliant and is very smooth'
'B0BVMKFJLX','NICE PRICE','4.0 out of 5 stars','GOOD'
'B0BVMKFJLX','Liked the build quality and received at 325 rs only. Best','5.0 out of 5 stars','Its a easy go for you gyz. Just go for it'
'B0BVMKFJLX','Value for money','5.0 out of 5 stars','Nice product suits my workstation'
'B0BVMKFJLX','It really deserves 5','5.0 out of 5 stars','The mat is exactly the size mentioned in the images and description.! It’s pretty soft and sturdy. The print quality looks superb.! And the packaging was also good.!'
'B0BVMKFJLX','Nice product quality','5.0 out of 5 stars','The product has premium quality as expected...I love this product 👌'
'B0BVMKFJLX','Amazing','5.0 out of 5 stars','Its so good looking and feels really nice.'
'B0BVMKFJLX','Mousepad','4.0 out of 5 stars',"It's nice and broad enough for the whole setup. Love the texture, but feels a little rubbery"
'B0BVMKFJLX','Impressive','5.0 out of 5 stars','A very well made mat. Appropriate size and really good material quality. Highly recommended.'
'B0BVMKFJLX','Good Mosuse pad','5.0 out of 5 stars','Its a great mosue pad and quite big for the price point. Just take into consideration your table size as its almost 3 feet long.'
'B0BVMKFJLX','Mouse pad','5.0 out of 5 stars','this is a good one mouse pad silki nd shine...mouse pad size extra large. thanku amazone'
'B0BVMKFJLX','Product Quality great','5.0 out of 5 stars','Overall Value for money'
'B0BVMKFJLX','Good product','4.0 out of 5 stars','It is smooth and layout looks ka good'
'B0BVMKFJLX','Value for money','4.0 out of 5 stars','The media could not be loaded. Much larger than expected amazing product'
'B0BVMKFJLX','Delivered what is promised','5.0 out of 5 stars','I was apprehensive about recieving a decent product of true measurements for the low price as advertised. But was happy with the product which actually measures 900X400 mm and also excellent finishing.'
'B0BVMKFJLX','Best quality','5.0 out of 5 stars','I didn’t expect this mouse pad of this great quality for this price…. It seems durable for quite a long time …….Very happy to have made this purchase!!!!'
'B0BVMKFJLX',It's perfect,'5.0 out of 5 stars','It was just as expectedperfect.'
'B0BVMKFJLX','Cool product','5.0 out of 5 stars','This covers a long place with flexible material👍'
'B0BVMKFJLX','quality','5.0 out of 5 stars','amazing and soft'
'B0BVMKFJLX','🤌✨','5.0 out of 5 stars','What a product man. The size the material  amazing'
'B0BVMKFJLX','Amazing Product','5.0 out of 5 stars','The mouse pad is flexible and smooth to touch. The Size is exactly how it showed on the site. It is easy to clean and requires very less care.'
'B0BVMKFJLX','Amazing product','5.0 out of 5 stars','Matt is exactly as stated in the site. The material is strong smooth and flexible. Works with any mouse. Easy to clean.'
'B0BVMKFJLX','Gud product','5.0 out of 5 stars','Gud product'
'B0BVMKFJLX','Very good product','4.0 out of 5 stars','It is not only waterproof but also water absorbent. Backside rubber quality is also good. Mouse is working properly and one can experience very fast movement of mouse.'
