item,title,rating,body
'B09ZJ2V97X','Hi','4.0 out of 5 stars',"It's good ."
'B09ZJ2V97X','Very nice','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_rckko57tp0v28_1697110773791","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"258-2769860-5502165","refMarkers":"vse_reviews_desktop_RCKKO57TP0V28_1697110773791_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"A3GH7KNH5ND4SJ5N72Z4","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RCKKO57TP0V28","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RCKKO57TP0V28_1697110773791_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/3038648d-4ca6-4176-85a7-67bad92680fe.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/e8a47bad-2f35-4008-b8cf-b5a27c24d112/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"RCKKO57TP0V28","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_rckko57tp0v28_1697110773791-player-739c679b-dda4-4775-9b05-3d0d9e1b0759","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"A3GH7KNH5ND4SJ5N72Z4","pageAsin":"","sessionId":"258-2769860-5502165"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"258-2769860-5502165","refMarkers":"vse_reviews_desktop_RCKKO57TP0V28_1697110773791_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"A3GH7KNH5ND4SJ5N72Z4","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RCKKO57TP0V28","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RCKKO57TP0V28_1697110773791_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/510i5v90HwL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Bathroom'
'B09ZJ2V97X','The bucket is nice; mug is small','4.0 out of 5 stars',"Overall build quality of both is nice, but I was surprised to see such a small mug. It is around 500 ml which doesn't serve the purpose of bathing or putting water in plants."
'B09ZJ2V97X','Nice item','4.0 out of 5 stars',"It's a nice bucket of 20 litres with a matching mug."
'B09ZJ2V97X','Ok','3.0 out of 5 stars','Ok'
'B09ZJ2V97X','Good one for this cost','4.0 out of 5 stars','Good, no complaint so far.'
'B09ZJ2V97X','Best buying ever','5.0 out of 5 stars','Happy with the product'
'B09ZJ2V97X','Bucket is very nice unbreakable','5.0 out of 5 stars','I am using the bucket'
'B09ZJ2V97X','Excellent quality','5.0 out of 5 stars','Excellent quality'
'B09ZJ2V97X','Very beautiful and strong bucket.','5.0 out of 5 stars','The bucket is very beautiful and strong.'
