item,title,rating,body
'B097ZX7WHC','Cheating amazone','1.0 out of 5 stars','Item is too waste and no number i will case in consumer court they will not give refund constomer care is bad response'
'B097ZX7WHC','Lousy','1.0 out of 5 stars','The plastic was of an inferior quality. The bucket looks appealing and good only here in the photos but in reality when I received this product, it was damaged and the quality of the the bucket was very sub standard.'
'B097ZX7WHC','Good bucket','5.0 out of 5 stars','Colour of that bucket good Size is perfect Good quality material used.'
'B097ZX7WHC',"It's good",'5.0 out of 5 stars',"The product was what I expected.. it's a good bucket and they also sent me the mug..I'm happy.."
'B097ZX7WHC','Good','5.0 out of 5 stars','Durable plastic bucket , worked good for me. Capacity is ok. Cost is ok can take it without any dout.'
'B097ZX7WHC','Good and best','5.0 out of 5 stars','The media could not be loaded. Really good and not too much heavy plastic, I like it and the black colour shine,'
'B097ZX7WHC','Very Good Bucket','5.0 out of 5 stars','I bought this bucket and mug. I can use this for multipurpose in my house. And also it is very strong and durable. Bucket material is very high quality it is not easily breakable.'
'B097ZX7WHC','Nice','5.0 out of 5 stars','Nice Bucket lightweight easy to carry same as shown in the picture'
'B097ZX7WHC','Gud quality for home use','5.0 out of 5 stars','Vry nyc quality of mug superb built quality of both product.😊'
'B097ZX7WHC','Really good quality product','5.0 out of 5 stars','I really liked it because of its strong n good quality 👍🏻👍🏻'
'B097ZX7WHC','Very useful for daily use','5.0 out of 5 stars','Very useful for daily use'
'B097ZX7WHC','Must buy','5.0 out of 5 stars','This bucket is so good. Quality amazing. Leak proof. Easy to hold. Worth buying'
'B097ZX7WHC','strong bucket set','5.0 out of 5 stars','I made this purchase because my bucket broke while lifting it. This bucket seems stiff and strong and would last longer. It holds enough water for taking bath for one person. I also use it for cleaning clothes in it.'
'B097ZX7WHC','Good quality','5.0 out of 5 stars',"The bucket is made of strong plastic material. This is a combo pack a bucket and a jug. It is of 16 litres. It has a strong handle to carry water. It has strong and sturdy body. It is unbreakable. I love it's design."
'B097ZX7WHC','good quality product for daily use','5.0 out of 5 stars','quality is quite steady to hold the weight. worth value for money.'
'B097ZX7WHC','Good','5.0 out of 5 stars','Quality is good'
'B097ZX7WHC','Very bad quality','1.0 out of 5 stars','Poor quality waste of money Bad experience for Amazon'
'B097ZX7WHC','Expensive','1.0 out of 5 stars','The base of this bucket is very good.. it seems it may break very soon. I got another good quality bucket much better than this at much cheaper rate from supermarket.'
'B097ZX7WHC','Good quality','5.0 out of 5 stars','As ordered'
'B097ZX7WHC','Very good quality','5.0 out of 5 stars','Quality is very good and sturdy... I liked it'
'B097ZX7WHC','Worst','1.0 out of 5 stars','The bucket was small and crooked. All bent up'
'B097ZX7WHC','Good product','4.0 out of 5 stars','Value for money'
'B097ZX7WHC','Stylish bucket and mug.','5.0 out of 5 stars','Kubers items are always good.'
'B097ZX7WHC','Nice bucket','5.0 out of 5 stars','Very nice bucket. Good quality plastic'
